"","site_code","BMI","BMI_special_note","invetigate_no","rank"
"267","1101G056",36.5625,"36.5625","-","D"
"268","1101G060",68.5110294117647,"68.5110294117647","-","B"
"269","1101G064",43.4926470588235,"43.4926470588235","-","D"
"270","1101G082",35.59375,"35.59375","-","D"
"271","1101G086",31.09375,"31.09375","-","E"
"272","1101G098",36.6666666666667,"36.6666666666667","-","D"
"273","1101G102",36.0810810810811,"36.0810810810811","-","D"
"274","1101G106",35.9090909090909,"35.9090909090909","-","D"
"275","1101G108",41.0576923076923,"41.0576923076923","-","D"
"276","1101G112",38.7037037037037,"38.7037037037037","-","D"
"277","1101G116",41.8181818181818,"41.8181818181818","-","D"
"278","1201G020",17.9545454545455,"17.9545454545455","-","E"
"279","1201G060",39.4767441860465,"39.4767441860465","-","D"
"280","1202G005",62.0833333333333,"62.0833333333333","-","C"
"281","1202G015",22.4715909090909,"22.4715909090909","-","E"
"282","1202G030",59.0957446808511,"59.0957446808511","-","C"
"283","1202G040",39.140625,"39.140625","-","D"
"284","1202G045",54.5149253731343,"54.5149253731343","-","C"
"285","1301G020",39.21875,"39.21875","-","D"
"286","1301G045",67.2435897435898,"67.2435897435898","-","B"
"287","1301G060",86.7439024390244,"86.7439024390244","-","A"
"288","1301G080",71.5,"71.5","-","B"
"289","1301G085",52.0394736842105,"52.0394736842105","-","C"
"290","1302G021",92.4311023622047,"92.4311023622047","-","A"
"291","1302G033",29.6875,"29.6875","-","E"
"292","1302G051",79.6951219512195,"79.6951219512195","-","B"
"293","1303G025",50.1785714285714,"50.1785714285714","-","C"
"294","1303G035",85.2364864864865,"85.2364864864865","-","A"
"295","1303G050",92.2340425531915,"92.2340425531915","-","A"
"296","1303G055",92.7130681818182,"92.7130681818182","-","A"
